customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_score_numeric,cluster,segment
CUST00033,2,6,3014.76,5,2,3,523,10,0,New Customers
CUST00034,315,2,559.46,1,1,1,111,3,7,Hibernating
CUST00035,4,9,1636.77,5,3,2,532,10,0,New Customers
CUST00036,37,9,3220.39,2,3,3,233,8,0,New Customers
CUST00037,126,8,3945.59,1,3,3,133,7,5,Hibernating
CUST00038,20,1,38.11,4,1,1,411,6,0,New Customers
CUST00039,119,6,859.26,1,2,1,121,4,5,Hibernating
CUST00040,4,1,375.3,5,1,1,511,7,0,New Customers
CUST00041,27,3,6970.62,3,1,4,314,8,0,New Customers
CUST00042,15,31,26757.36,4,5,5,455,14,6,Champions
CUST00043,28,38,38258.68,3,5,5,355,13,3,Champions
CUST00044,15,20,10767.039999999999,4,4,4,444,12,4,Potential Loyalists
CUST00045,4,27,36544.61,5,5,5,555,15,3,Champions
CUST00046,16,23,24675.54,4,5,5,455,14,1,Loyal Customers
CUST00047,14,24,16221.699999999999,4,5,4,454,13,1,Loyal Customers
CUST00048,8,9,4961.41,5,3,3,533,11,0,New Customers
CUST00049,22,2,338.25,3,1,1,311,5,0,New Customers
CUST00050,17,16,9802.95,4,4,4,444,12,4,Potential Loyalists
CUST00051,9,8,4950.07,5,3,3,533,11,0,New Customers
CUST00052,13,27,16839.93,4,5,5,455,14,1,Loyal Customers
CUST00053,1,17,4694.5,5,4,3,543,12,4,Potential Loyalists
CUST00054,120,30,24756.2,1,5,5,155,11,6,Champions
CUST00055,2,3,240.10999999999999,5,1,1,511,7,0,New Customers
CUST00056,30,2,735.78,3,1,1,311,5,0,New Customers
CUST00057,29,18,19150.56,3,4,5,345,12,1,Loyal Customers
CUST00058,69,4,702.75,2,1,1,211,4,5,Hibernating
CUST00059,27,32,24514.28,3,5,5,355,13,6,Champions
CUST00060,8,16,5250.96,5,4,3,543,12,4,Potential Loyalists
CUST00061,320,4,275.12,1,1,1,111,3,7,Hibernating
CUST00062,18,3,2320.35,4,1,2,412,7,0,New Customers
CUST00063,5,9,1827.52,5,3,2,532,10,0,New Customers
CUST00064,21,2,1160.2299999999998,4,1,2,412,7,0,New Customers
CUST00065,111,8,7327.61,1,3,4,134,8,5,Hibernating
CUST00066,74,2,158.76,2,1,1,211,4,5,Hibernating
CUST00067,30,28,16441.89,3,5,5,355,13,1,Loyal Customers
CUST00068,26,31,38230.200000000004,3,5,5,355,13,3,Champions
CUST00069,18,18,6476.89,4,4,3,443,11,4,Potential Loyalists
CUST00070,38,12,4838.58,2,3,3,233,8,4,Potential Loyalists
CUST00071,18,18,29895.559999999998,4,4,5,445,13,1,Loyal Customers
CUST00072,167,29,20369.47,1,5,5,155,11,1,Loyal Customers
CUST00073,195,15,4313.36,1,4,3,143,8,2,Hibernating
CUST00074,38,15,6804.94,2,4,3,243,9,4,Potential Loyalists
CUST00075,23,2,339.58,3,1,1,311,5,0,New Customers
CUST00076,21,15,4080.96,4,4,3,443,11,4,Potential Loyalists
CUST00077,152,13,6789.87,1,3,3,133,7,2,Hibernating
CUST00078,47,6,814.43,2,2,1,221,5,0,New Customers
CUST00079,28,20,9742.21,3,4,4,344,11,4,Potential Loyalists
CUST00080,30,12,6129.15,3,3,3,333,9,4,Potential Loyalists
CUST00081,54,9,3421.6099999999997,2,3,3,233,8,0,New Customers
CUST00082,29,16,11362.69,3,4,4,344,11,4,Potential Loyalists
CUST00083,14,1,61.35,4,1,1,411,6,0,New Customers
CUST00084,230,14,8767.67,1,4,4,144,9,2,Hibernating
CUST00085,34,14,9075.23,2,4,4,244,10,4,Potential Loyalists
CUST00086,6,30,23365.83,5,5,5,555,15,6,Champions
CUST00087,447,5,1226.4899999999998,1,2,2,122,5,7,Hibernating
CUST00088,29,10,3414.8500000000004,3,3,3,333,9,0,New Customers
CUST00089,20,23,11806.69,4,5,4,454,13,1,Loyal Customers
CUST00090,14,39,63025.18,4,5,5,455,14,3,Champions
CUST00091,29,29,7371.85,3,5,4,354,12,1,Loyal Customers
CUST00092,11,3,1040.68,5,1,2,512,8,0,New Customers
CUST00093,106,6,1215.22,1,2,2,122,5,5,Hibernating
CUST00094,45,19,29191.26,2,4,5,245,11,1,Loyal Customers
CUST00095,27,28,9287.69,3,5,4,354,12,1,Loyal Customers
CUST00096,18,18,3373.87,4,4,3,443,11,4,Potential Loyalists
CUST00097,358,3,381.36,1,1,1,111,3,7,Hibernating
CUST00098,20,8,2974.07,4,3,3,433,10,0,New Customers
CUST00099,278,3,909.3900000000001,1,1,2,112,4,2,Hibernating
CUST00100,110,3,284.16999999999996,1,1,1,111,3,5,Hibernating
CUST00101,29,16,9336.66,3,4,4,344,11,4,Potential Loyalists
CUST00102,60,3,1163.94,2,1,2,212,5,0,New Customers
CUST00103,25,4,1798.5299999999997,3,1,2,312,6,0,New Customers
CUST00104,57,5,3470.4300000000003,2,2,3,223,7,0,New Customers
CUST00105,9,20,21777.5,5,4,5,545,14,1,Loyal Customers
CUST00106,23,2,1350.81,3,1,2,312,6,0,New Customers
CUST00107,18,23,10688.869999999999,4,5,4,454,13,1,Loyal Customers
CUST00108,35,15,4255.82,2,4,3,243,9,4,Potential Loyalists
CUST00109,15,8,2530.4,4,3,2,432,9,0,New Customers
CUST00110,251,3,208.06,1,1,1,111,3,2,Hibernating
CUST00111,239,5,2743.95,1,2,3,123,6,2,Hibernating
CUST00112,35,16,13426.16,2,4,4,244,10,4,Potential Loyalists
CUST00113,4,9,869.1600000000001,5,3,1,531,9,0,New Customers
CUST00114,26,40,19432.39,3,5,5,355,13,6,Champions
CUST00115,193,12,4955.49,1,3,3,133,7,2,Hibernating
CUST00116,187,10,2356.5,1,3,2,132,6,2,Hibernating
CUST00117,29,15,16154.7,3,4,4,344,11,1,Loyal Customers
CUST00118,17,2,1326.1699999999998,4,1,2,412,7,0,New Customers
CUST00119,2,2,228.1,5,1,1,511,7,0,New Customers
CUST00120,11,28,30614.5,5,5,5,555,15,6,Champions
CUST00121,79,4,3842.5600000000004,2,1,3,213,6,5,Hibernating
CUST00122,51,4,3503.84,2,1,3,213,6,0,New Customers
CUST00123,39,5,842.0600000000001,2,2,1,221,5,0,New Customers
CUST00124,12,8,1640.0,4,3,2,432,9,0,New Customers
CUST00125,12,24,15864.14,4,5,4,454,13,1,Loyal Customers
CUST00126,44,13,6255.72,2,3,3,233,8,4,Potential Loyalists
CUST00127,9,38,42170.11,5,5,5,555,15,3,Champions
CUST00128,155,20,7964.19,1,4,4,144,9,2,Hibernating
CUST00129,151,7,2817.1299999999997,1,2,3,123,6,5,Hibernating
CUST00130,124,6,743.0,1,2,1,121,4,5,Hibernating
CUST00131,14,10,3151.8199999999997,4,3,3,433,10,0,New Customers
CUST00132,14,25,31632.17,4,5,5,455,14,6,Champions
CUST00133,209,15,4704.55,1,4,3,143,8,2,Hibernating
CUST00134,147,23,16081.0,1,5,4,154,10,1,Loyal Customers
CUST00135,29,19,12665.57,3,4,4,344,11,1,Loyal Customers
CUST00136,27,10,1517.72,3,3,2,332,8,0,New Customers
CUST00137,10,27,19709.95,5,5,5,555,15,1,Loyal Customers
CUST00138,59,4,472.56999999999994,2,1,1,211,4,0,New Customers
CUST00139,6,2,131.10999999999999,5,1,1,511,7,0,New Customers
CUST00140,2,33,18416.94,5,5,5,555,15,6,Champions
CUST00141,34,4,1878.8999999999999,2,1,2,212,5,0,New Customers
CUST00142,32,7,1313.26,3,2,2,322,7,0,New Customers
CUST00143,9,17,8239.28,5,4,4,544,13,4,Potential Loyalists
CUST00144,214,6,3788.73,1,2,3,123,6,2,Hibernating
CUST00145,2,19,8757.6,5,4,4,544,13,4,Potential Loyalists
CUST00146,21,31,24458.53,4,5,5,455,14,6,Champions
CUST00147,30,4,1758.38,3,1,2,312,6,0,New Customers
CUST00148,36,2,228.8,2,1,1,211,4,0,New Customers
CUST00149,14,29,28559.81,4,5,5,455,14,6,Champions
CUST00150,3,8,3181.81,5,3,3,533,11,0,New Customers
CUST00151,595,1,86.28,1,1,1,111,3,7,Hibernating
CUST00152,11,1,55.18,5,1,1,511,7,0,New Customers
CUST00153,44,19,13793.03,2,4,4,244,10,1,Loyal Customers
CUST00154,25,5,1801.29,3,2,2,322,7,0,New Customers
CUST00155,27,35,30296.98,3,5,5,355,13,6,Champions
CUST00156,27,31,37077.72,3,5,5,355,13,3,Champions
CUST00157,17,9,5460.599999999999,4,3,3,433,10,0,New Customers
CUST00158,20,2,912.4,4,1,2,412,7,0,New Customers
CUST00159,27,36,17475.3,3,5,5,355,13,6,Champions
CUST00160,22,16,9117.220000000001,3,4,4,344,11,4,Potential Loyalists
CUST00161,7,28,35010.54,5,5,5,555,15,3,Champions
CUST00162,11,1,333.17,5,1,1,511,7,0,New Customers
CUST00163,14,25,9926.93,4,5,4,454,13,1,Loyal Customers
CUST00164,228,12,12758.68,1,3,4,134,8,2,Hibernating
CUST00165,63,5,3573.86,2,2,3,223,7,0,New Customers
CUST00166,29,15,10840.66,3,4,4,344,11,4,Potential Loyalists
CUST00167,18,38,35664.34,4,5,5,455,14,3,Champions
CUST00168,23,3,457.45,3,1,1,311,5,0,New Customers
CUST00169,28,22,16263.98,3,5,4,354,12,1,Loyal Customers
CUST00170,13,19,7415.26,4,4,4,444,12,4,Potential Loyalists
CUST00171,140,20,13168.39,1,4,4,144,9,1,Loyal Customers
CUST00172,24,9,2830.61,3,3,3,333,9,0,New Customers
CUST00173,31,8,6240.62,3,3,3,333,9,0,New Customers
CUST00174,30,5,1000.9399999999999,3,2,2,322,7,0,New Customers
CUST00175,60,8,856.82,2,3,1,231,6,0,New Customers
CUST00176,4,22,26580.81,5,5,5,555,15,1,Loyal Customers
CUST00177,8,38,32903.07,5,5,5,555,15,3,Champions
CUST00178,43,15,13120.87,2,4,4,244,10,4,Potential Loyalists
CUST00179,5,11,2028.81,5,3,2,532,10,0,New Customers
CUST00180,6,10,3580.78,5,3,3,533,11,0,New Customers
CUST00181,40,2,677.9,2,1,1,211,4,0,New Customers
CUST00182,20,4,1051.87,4,1,2,412,7,0,New Customers
CUST00183,485,3,2954.92,1,1,3,113,5,7,Hibernating
CUST00184,13,19,11157.49,4,4,4,444,12,4,Potential Loyalists
CUST00185,16,15,8456.9,4,4,4,444,12,4,Potential Loyalists
CUST00186,13,8,2591.16,4,3,2,432,9,0,New Customers
CUST00187,97,8,1184.94,1,3,2,132,6,5,Hibernating
CUST00188,13,8,14770.45,4,3,4,434,11,4,Potential Loyalists
CUST00189,5,32,21441.44,5,5,5,555,15,6,Champions
CUST00190,46,9,1464.47,2,3,2,232,7,0,New Customers
CUST00191,18,14,12302.34,4,4,4,444,12,4,Potential Loyalists
CUST00192,29,19,11639.52,3,4,4,344,11,4,Potential Loyalists
CUST00193,29,8,4647.83,3,3,3,333,9,0,New Customers
CUST00194,164,14,6797.139999999999,1,4,3,143,8,2,Hibernating
CUST00195,39,9,1912.9099999999999,2,3,2,232,7,0,New Customers
CUST00196,67,5,1566.49,2,2,2,222,6,5,Hibernating
CUST00197,27,7,2142.05,3,2,2,322,7,0,New Customers
CUST00198,29,19,27689.74,3,4,5,345,12,1,Loyal Customers
CUST00199,455,2,77.53,1,1,1,111,3,7,Hibernating
CUST00200,115,5,5020.29,1,2,3,123,6,5,Hibernating
CUST00201,328,5,329.41,1,2,1,121,4,7,Hibernating
CUST00202,167,20,16532.079999999998,1,4,5,145,10,2,Hibernating
CUST00203,133,5,1103.3200000000002,1,2,2,122,5,5,Hibernating
CUST00204,20,18,17307.49,4,4,5,445,13,1,Loyal Customers
CUST00205,54,6,2548.63,2,2,2,222,6,0,New Customers
CUST00206,8,26,17707.45,5,5,5,555,15,1,Loyal Customers
CUST00207,30,19,12345.08,3,4,4,344,11,1,Loyal Customers
CUST00208,28,37,38767.72,3,5,5,355,13,3,Champions
CUST00209,30,9,3678.02,3,3,3,333,9,0,New Customers
CUST00210,548,6,1517.3500000000001,1,2,2,122,5,7,Hibernating
CUST00211,1,9,4169.2300000000005,5,3,3,533,11,0,New Customers
CUST00212,42,3,1137.96,2,1,2,212,5,0,New Customers
CUST00213,36,10,5961.84,2,3,3,233,8,4,Potential Loyalists
CUST00214,1,15,7924.67,5,4,4,544,13,4,Potential Loyalists
CUST00215,235,2,326.77,1,1,1,111,3,2,Hibernating
CUST00216,415,8,2240.37,1,3,2,132,6,7,Hibernating
CUST00217,58,6,1270.0,2,2,2,222,6,0,New Customers
CUST00218,31,3,707.33,3,1,1,311,5,0,New Customers
CUST00219,8,24,13245.87,5,5,4,554,14,1,Loyal Customers
CUST00220,4,12,4714.9800000000005,5,3,3,533,11,4,Potential Loyalists
CUST00221,333,1,31.48,1,1,1,111,3,7,Hibernating
CUST00222,5,3,8001.73,5,1,4,514,10,0,New Customers
CUST00223,31,7,2394.37,3,2,2,322,7,0,New Customers
CUST00224,52,4,1550.15,2,1,2,212,5,0,New Customers
CUST00225,14,28,29140.329999999998,4,5,5,455,14,6,Champions
CUST00226,5,2,256.66999999999996,5,1,1,511,7,0,New Customers
CUST00227,27,4,463.39,3,1,1,311,5,0,New Customers
CUST00228,120,7,509.91,1,2,1,121,4,5,Hibernating
CUST00229,21,34,26644.63,4,5,5,455,14,6,Champions
CUST00230,221,3,355.77,1,1,1,111,3,2,Hibernating
CUST00231,26,23,24358.64,3,5,5,355,13,1,Loyal Customers
CUST00232,14,16,19695.36,4,4,5,445,13,1,Loyal Customers
CUST00233,10,1,137.88,5,1,1,511,7,0,New Customers
CUST00234,83,2,557.87,2,1,1,211,4,5,Hibernating
CUST00235,22,21,25608.69,3,4,5,345,12,1,Loyal Customers
CUST00236,3,16,4776.89,5,4,3,543,12,4,Potential Loyalists
CUST00237,163,13,6676.0,1,3,3,133,7,2,Hibernating
CUST00238,2,16,6455.3,5,4,3,543,12,4,Potential Loyalists
CUST00239,18,1,4818.36,4,1,3,413,8,0,New Customers
CUST00240,30,3,2571.09,3,1,2,312,6,0,New Customers
CUST00241,33,14,9173.140000000001,3,4,4,344,11,4,Potential Loyalists
CUST00242,28,1,218.25,3,1,1,311,5,0,New Customers
CUST00243,56,4,266.08,2,1,1,211,4,0,New Customers
CUST00244,148,12,6520.91,1,3,3,133,7,2,Hibernating
CUST00245,22,26,16142.26,3,5,4,354,12,1,Loyal Customers
CUST00246,44,4,929.4,2,1,2,212,5,0,New Customers
CUST00247,23,29,33673.84,3,5,5,355,13,3,Champions
CUST00248,38,9,1646.3899999999999,2,3,2,232,7,0,New Customers
CUST00249,7,2,574.1,5,1,1,511,7,0,New Customers
CUST00250,21,14,2339.17,4,4,2,442,10,4,Potential Loyalists
CUST00251,21,16,11832.11,4,4,4,444,12,4,Potential Loyalists
CUST00252,72,2,120.13000000000001,2,1,1,211,4,5,Hibernating
CUST00253,3,20,14035.820000000002,5,4,4,544,13,1,Loyal Customers
CUST00254,28,8,2896.25,3,3,3,333,9,0,New Customers
CUST00255,546,6,1543.12,1,2,2,122,5,7,Hibernating
CUST00256,379,1,327.5,1,1,1,111,3,7,Hibernating
CUST00257,26,25,23168.870000000003,3,5,5,355,13,1,Loyal Customers
CUST00258,10,16,10357.57,5,4,4,544,13,4,Potential Loyalists
CUST00259,17,13,12009.73,4,3,4,434,11,4,Potential Loyalists
CUST00260,119,10,5961.49,1,3,3,133,7,5,Hibernating
CUST00261,173,11,7660.71,1,3,4,134,8,2,Hibernating
CUST00262,210,15,6317.8099999999995,1,4,3,143,8,2,Hibernating
CUST00263,5,14,7740.11,5,4,4,544,13,4,Potential Loyalists
CUST00264,11,19,12867.2,5,4,4,544,13,1,Loyal Customers
CUST00265,80,6,3918.3900000000003,2,2,3,223,7,5,Hibernating
CUST00266,81,2,1985.09,2,1,2,212,5,5,Hibernating
CUST00267,27,2,38.79,3,1,1,311,5,0,New Customers
CUST00268,361,1,152.4,1,1,1,111,3,7,Hibernating
CUST00269,30,2,560.11,3,1,1,311,5,0,New Customers
CUST00270,14,27,32269.86,4,5,5,455,14,3,Champions
CUST00271,86,6,5406.79,1,2,3,123,6,5,Hibernating
CUST00272,6,19,12765.449999999999,5,4,4,544,13,1,Loyal Customers
CUST00273,2,1,196.58,5,1,1,511,7,0,New Customers
CUST00274,143,28,20718.34,1,5,5,155,11,1,Loyal Customers
CUST00275,16,16,15476.83,4,4,4,444,12,1,Loyal Customers
CUST00276,27,23,16637.399999999998,3,5,5,355,13,1,Loyal Customers
CUST00277,8,35,29886.13,5,5,5,555,15,6,Champions
CUST00278,3,5,2125.48,5,2,2,522,9,0,New Customers
CUST00279,13,11,4617.08,4,3,3,433,10,4,Potential Loyalists
CUST00280,13,2,259.09,4,1,1,411,6,0,New Customers
CUST00281,68,4,1393.67,2,1,2,212,5,5,Hibernating
CUST00282,28,37,28625.75,3,5,5,355,13,6,Champions
CUST00283,21,2,1057.17,4,1,2,412,7,0,New Customers
CUST00284,21,20,9617.64,4,4,4,444,12,4,Potential Loyalists
CUST00285,30,9,4127.86,3,3,3,333,9,0,New Customers
CUST00286,165,10,19402.370000000003,1,3,5,135,9,2,Hibernating
CUST00287,106,7,2749.15,1,2,3,123,6,5,Hibernating
CUST00288,25,35,35515.1,3,5,5,355,13,3,Champions
CUST00289,7,9,6073.2,5,3,3,533,11,4,Potential Loyalists
CUST00290,16,11,5446.79,4,3,3,433,10,4,Potential Loyalists
CUST00291,17,34,37435.1,4,5,5,455,14,3,Champions
CUST00292,37,5,2638.57,2,2,2,222,6,0,New Customers
CUST00293,20,1,2052.9,4,1,2,412,7,0,New Customers
CUST00294,23,16,10826.369999999999,3,4,4,344,11,4,Potential Loyalists
CUST00295,68,2,590.96,2,1,1,211,4,5,Hibernating
CUST00296,35,7,1523.67,2,2,2,222,6,0,New Customers
CUST00297,22,16,17332.8,3,4,5,345,12,1,Loyal Customers
CUST00298,25,16,14320.52,3,4,4,344,11,4,Potential Loyalists
CUST00299,22,23,12567.82,3,5,4,354,12,1,Loyal Customers
CUST00300,170,12,3425.8900000000003,1,3,3,133,7,2,Hibernating
CUST00301,144,12,3126.7000000000003,1,3,3,133,7,2,Hibernating
CUST00302,24,5,1365.74,3,2,2,322,7,0,New Customers
CUST00303,124,7,3783.68,1,2,3,123,6,5,Hibernating
CUST00304,19,1,61.66,4,1,1,411,6,0,New Customers
CUST00305,30,19,16247.91,3,4,4,344,11,1,Loyal Customers
CUST00306,7,24,19759.44,5,5,5,555,15,1,Loyal Customers
CUST00307,25,19,8807.99,3,4,4,344,11,4,Potential Loyalists
CUST00308,123,14,5123.849999999999,1,4,3,143,8,5,Hibernating
CUST00309,122,5,980.6199999999999,1,2,2,122,5,5,Hibernating
CUST00310,124,6,1207.48,1,2,2,122,5,5,Hibernating
CUST00311,123,10,2543.94,1,3,2,132,6,5,Hibernating
CUST00312,16,36,30703.4,4,5,5,455,14,6,Champions
CUST00313,37,8,5902.27,2,3,3,233,8,0,New Customers
CUST00314,10,16,10292.99,5,4,4,544,13,4,Potential Loyalists
CUST00315,22,2,254.34,3,1,1,311,5,0,New Customers
CUST00316,240,14,4788.13,1,4,3,143,8,2,Hibernating
CUST00317,38,10,2600.35,2,3,2,232,7,0,New Customers
CUST00318,17,3,211.64000000000001,4,1,1,411,6,0,New Customers
CUST00319,9,15,17045.16,5,4,5,545,14,1,Loyal Customers
CUST00320,134,20,27814.260000000002,1,4,5,145,10,1,Loyal Customers
CUST00321,85,6,3137.9,1,2,3,123,6,5,Hibernating
CUST00322,318,3,23.92,1,1,1,111,3,7,Hibernating
CUST00323,85,8,4273.28,1,3,3,133,7,5,Hibernating
CUST00324,197,13,12051.529999999999,1,3,4,134,8,2,Hibernating
CUST00325,9,16,10910.02,5,4,4,544,13,4,Potential Loyalists
CUST00326,89,5,2032.1999999999998,1,2,2,122,5,5,Hibernating
CUST00327,27,16,9978.289999999999,3,4,4,344,11,4,Potential Loyalists
CUST00328,155,11,4878.17,1,3,3,133,7,2,Hibernating
CUST00329,131,3,564.87,1,1,1,111,3,5,Hibernating
CUST00330,132,8,8602.78,1,3,4,134,8,5,Hibernating
CUST00331,79,3,594.42,2,1,1,211,4,5,Hibernating
CUST00332,28,13,7040.92,3,3,4,334,10,4,Potential Loyalists
CUST00333,106,7,3275.66,1,2,3,123,6,5,Hibernating
CUST00334,20,35,25140.21,4,5,5,455,14,6,Champions
CUST00335,137,14,5389.42,1,4,3,143,8,2,Hibernating
CUST00336,116,7,3584.96,1,2,3,123,6,5,Hibernating
CUST00337,11,34,33199.78,5,5,5,555,15,3,Champions
CUST00338,144,6,695.08,1,2,1,121,4,5,Hibernating
CUST00339,18,6,1621.33,4,2,2,422,8,0,New Customers
CUST00340,5,16,8632.46,5,4,4,544,13,4,Potential Loyalists
CUST00341,127,3,608.49,1,1,1,111,3,5,Hibernating
CUST00342,20,34,27736.850000000002,4,5,5,455,14,6,Champions
CUST00343,23,39,15452.79,3,5,4,354,12,6,Champions
CUST00344,29,31,21405.03,3,5,5,355,13,6,Champions
CUST00345,19,13,3716.31,4,3,3,433,10,4,Potential Loyalists
CUST00346,75,6,1144.8600000000001,2,2,2,222,6,5,Hibernating
CUST00347,289,3,1191.01,1,1,2,112,4,7,Hibernating
CUST00348,19,17,7744.780000000001,4,4,4,444,12,4,Potential Loyalists
CUST00349,7,3,717.85,5,1,1,511,7,0,New Customers
CUST00350,15,13,3026.29,4,3,3,433,10,4,Potential Loyalists
CUST00351,369,5,1774.41,1,2,2,122,5,7,Hibernating
CUST00352,45,7,1072.6,2,2,2,222,6,0,New Customers
CUST00353,153,27,17301.55,1,5,5,155,11,1,Loyal Customers
CUST00354,29,40,22501.77,3,5,5,355,13,6,Champions
CUST00355,360,5,385.09000000000003,1,2,1,121,4,7,Hibernating
CUST00356,24,38,24128.97,3,5,5,355,13,6,Champions
CUST00357,221,4,508.08000000000004,1,1,1,111,3,2,Hibernating
CUST00358,22,19,8064.179999999999,3,4,4,344,11,4,Potential Loyalists
CUST00359,26,38,13088.85,3,5,4,354,12,6,Champions
CUST00360,20,18,11517.6,4,4,4,444,12,4,Potential Loyalists
CUST00361,19,3,488.32,4,1,1,411,6,0,New Customers
CUST00362,37,20,13791.380000000001,2,4,4,244,10,1,Loyal Customers
CUST00363,2,3,2378.31,5,1,2,512,8,0,New Customers
CUST00364,15,9,2775.62,4,3,3,433,10,0,New Customers
CUST00365,44,12,6928.27,2,3,3,233,8,4,Potential Loyalists
CUST00366,30,1,216.13,3,1,1,311,5,0,New Customers
CUST00367,22,19,6227.5,3,4,3,343,10,4,Potential Loyalists
CUST00368,72,5,848.06,2,2,1,221,5,5,Hibernating
CUST00369,24,18,8942.44,3,4,4,344,11,4,Potential Loyalists
CUST00370,96,26,15463.85,1,5,4,154,10,1,Loyal Customers
CUST00371,21,8,1409.18,4,3,2,432,9,0,New Customers
CUST00372,23,4,946.06,3,1,2,312,6,0,New Customers
CUST00373,80,2,723.69,2,1,1,211,4,5,Hibernating
CUST00374,22,1,584.5,3,1,1,311,5,0,New Customers
CUST00375,28,20,5659.55,3,4,3,343,10,4,Potential Loyalists
CUST00376,29,15,4839.82,3,4,3,343,10,4,Potential Loyalists
CUST00377,20,3,680.58,4,1,1,411,6,0,New Customers
CUST00378,4,18,6491.26,5,4,3,543,12,4,Potential Loyalists
CUST00379,11,9,4768.33,5,3,3,533,11,0,New Customers
CUST00380,77,6,1537.4,2,2,2,222,6,5,Hibernating
CUST00381,19,3,2730.2999999999997,4,1,3,413,8,0,New Customers
CUST00382,41,14,9501.45,2,4,4,244,10,4,Potential Loyalists
CUST00383,39,14,8753.48,2,4,4,244,10,4,Potential Loyalists
CUST00384,33,14,19010.149999999998,3,4,5,345,12,1,Loyal Customers
CUST00385,38,17,8075.099999999999,2,4,4,244,10,4,Potential Loyalists
CUST00386,36,17,4802.21,2,4,3,243,9,4,Potential Loyalists
CUST00387,13,24,24469.39,4,5,5,455,14,1,Loyal Customers
CUST00388,9,17,16488.4,5,4,5,545,14,1,Loyal Customers
CUST00389,142,15,10147.34,1,4,4,144,9,2,Hibernating
CUST00390,78,5,1056.0700000000002,2,2,2,222,6,5,Hibernating
CUST00391,236,6,1974.6100000000001,1,2,2,122,5,2,Hibernating
CUST00392,11,2,1137.51,5,1,2,512,8,0,New Customers
CUST00393,35,19,16383.92,2,4,4,244,10,1,Loyal Customers
CUST00394,26,9,4559.1900000000005,3,3,3,333,9,0,New Customers
CUST00395,27,36,28298.75,3,5,5,355,13,6,Champions
CUST00396,8,15,14193.04,5,4,4,544,13,4,Potential Loyalists
CUST00397,26,12,11544.07,3,3,4,334,10,4,Potential Loyalists
CUST00398,10,3,200.62,5,1,1,511,7,0,New Customers
CUST00399,8,2,204.79999999999998,5,1,1,511,7,0,New Customers
CUST00400,27,8,2476.77,3,3,2,332,8,0,New Customers
CUST00401,39,18,13049.36,2,4,4,244,10,1,Loyal Customers
CUST00402,28,32,25700.71,3,5,5,355,13,6,Champions
CUST00403,4,8,4490.65,5,3,3,533,11,0,New Customers
CUST00404,131,12,9280.43,1,3,4,134,8,2,Hibernating
CUST00405,74,4,1975.8300000000002,2,1,2,212,5,5,Hibernating
CUST00406,22,23,14148.509999999998,3,5,4,354,12,1,Loyal Customers
CUST00407,20,18,12702.58,4,4,4,444,12,4,Potential Loyalists
CUST00408,46,5,1769.1399999999999,2,2,2,222,6,0,New Customers
CUST00409,12,1,93.28,4,1,1,411,6,0,New Customers
CUST00410,32,17,8470.04,3,4,4,344,11,4,Potential Loyalists
CUST00411,106,5,2831.55,1,2,3,123,6,5,Hibernating
